first	second	third	probs
beginning	please	go	0.333333333
truly	on	the	0.176470588
so	drop	me	0.357142857
your	man	is	0.048913043
hosting	of	the	0.454545455
his	abuse	and	0.400000000
product	for	you	0.076923077
i	definitely	want	0.066574202
clothes	off	and	0.130434783
from	notes	at	0.500000000
missouri	sought	to	1.000000000
night	tried	to	0.666666667
these	next	couple	0.100775194
got	hit	in	0.157407407
new	immigrants	and	0.100000000
twice	upon	a	1.000000000
live	bands	for	0.054054054
evidence	it	was	0.130434783
made	simple	through	0.111111111
twitter	sethems	like	0.187500000
the	greatest	of	0.030412744
minnesota	where	his	0.181818182
investors	companies	and	1.000000000
its	revenue	came	0.055555556
require	that	you	0.078014184
cuts	during	the	0.444444444
dont	mind	me	0.126760563
snow	like	this	0.153846154
new	apartment	in	0.104477612
manner	in	which	0.868217054
plus	according	to	1.000000000
incredibly	sad	and	0.137931034
somebody	else	and	0.032154341
field	dress	a	1.000000000
immigrants	with	criminal	0.153846154
level	of	the	0.064285714
reason	were	here	0.217391304
their	existing	medical	0.048780488
dressed	it	with	0.300000000
anyone	tried	it	0.075000000
for	recommendations	on	0.131578947
that	collection	of	0.125000000
fellow	will	be	0.444444444
you	pour	the	0.235294118
freedom	is	the	0.080882353
states	any	player	0.666666667
miller	and	his	0.049773756
first	eight	games	0.159090909
ask	you	for	0.063202247
hug	someone	today	0.200000000
long	journey	through	0.066666667
eye	while	you	0.181818182
movie	later	today	0.300000000
theyre	running	a	0.136363636
cover	my	eyes	0.038461538
other	special	needs	0.078431373
his	crime	and	0.088235294
to	broadway	in	0.090909091
get	season	tickets	1.000000000
cheap	drink	deals	0.400000000
create	it	yourself	0.022727273
only	she	can	0.185714286
my	destination	is	0.052631579
county	bar	association	0.764705882
played	computer	games	1.000000000
each	home	will	0.060606061
executive	protection	unit	0.222222222
special	true	story	1.000000000
despite	millions	of	1.000000000
com	c	live	0.222222222
time	except	for	0.272727273
country	safe	from	0.428571429
saw	scores	of	1.000000000
on	kevin	smith	0.130434783
same	card	as	0.333333333
but	hit	me	0.105263158
walked	along	a	0.042857143
necessary	the	historical	0.111111111
noon	years	eve	1.000000000
hunter	says	that	0.133333333
were	visitors	from	0.666666667
how	right	you	0.275862069
until	after	the	0.355400697
act	they	were	0.312500000
those	itthems	that	0.132352941
its	dumb	and	0.133333333
with	fashion	designer	0.057142857
personality	plus	and	0.400000000
occupy	my	time	0.444444444
touch	both	her	0.250000000
only	wants	to	0.511111111
your	description	as	0.090909091
opening	his	own	0.111111111
experience	youve	had	0.400000000
was	ok	but	0.105740181
move	of	his	0.043478261
plan	their	wedding	0.100000000
please	for	the	0.538461538
lawyer	in	the	0.233333333
apartment	it	was	0.750000000
book	that	has	0.045007032
it	thought	it	0.312500000
no	interest	in	0.785454545
feet	have	been	0.150000000
blues	fans	are	0.133333333
right	moves	and	0.111111111
have	hundreds	of	0.805555556
degree	weather	in	0.055118110
grant	from	the	0.675862069
centre	to	hear	0.076923077
same	degree	as	0.291666667
flowers	but	they	0.075000000
should	each	have	0.250000000
or	list	it	0.454545455
with	year	round	0.272727273
restaurant	but	it	0.074074074
determined	but	the	0.142857143
whose	hearts	are	0.357142857
negative	light	on	0.157894737
deal	worked	out	0.555555556
or	read	a	0.071005917
night	wore	on	1.000000000
most	attention	from	0.100000000
as	bring	me	0.500000000
major	team	will	0.285714286
from	solid	food	0.153846154
always	through	the	0.363636364
totally	doing	that	0.214285714
investigation	which	began	0.066666667
not	expand	beyond	0.333333333
you	spending	your	0.314285714
sunshine	here	in	0.333333333
animal	at	the	0.230769231
coach	but	he	0.152173913
house	cleaning	tips	0.042553191
no	paper	trail	0.300000000
committee	next	week	0.500000000
auto	vice	city	1.000000000
events	without	a	0.250000000
NA	rtheminds	you	0.049692381
built	entirely	from	0.500000000
are	poor	enough	0.048387097
financial	times	recently	0.042553191
person	than	a	0.095238095
love	would	be	0.260869565
spread	cream	cheese	0.750000000
lord	are	being	0.100000000
no	relationship	to	0.210526316
conference	board	consumer	0.095238095
into	western	and	0.200000000
local	resident	and	0.166666667
some	fake	ass	0.235294118
into	modern	times	0.090909091
voters	for	the	0.166666667
forces	have	recently	0.037735849
of	either	the	0.086206897
shooting	would	take	0.500000000
arizona	federal	judge	1.000000000
more	place	than	0.200000000
completely	for	the	0.160000000
media	if	youre	0.153846154
form	has	been	0.120000000
couple	rather	than	1.000000000
mom	wont	let	0.500000000
enjoy	learning	about	0.322580645
is	particularly	true	0.052980132
they	asked	if	0.091803279
gay	ass	shit	0.064516129
has	nuclear	weapons	0.666666667
century	leaders	will	1.000000000
i	like	the	0.125609141
his	corner	of	0.142857143
sent	some	people	0.048780488
his	attorney	had	0.018018018
sunshine	to	the	0.138888889
a	facebook	account	0.057692308
ohio	northeast	ohio	0.500000000
training	from	the	0.250000000
years	long	decline	0.057692308
our	family	to	0.037213740
of	dangerous	drugs	0.040000000
second	face	of	1.000000000
eat	baby	food	0.500000000
singing	you	are	0.142857143
in	returning	to	0.416666667
players	work	out	0.285714286
stupid	idea	and	0.090909091
means	plus	function	1.000000000
followers	till	i	0.300000000
we	cooked	it	0.090909091
us	tools	to	1.000000000
around	our	neighborhood	0.038674033
world	was	going	0.036666667
and	ridiculous	as	0.105263158
that	in	the	0.199909747
jealous	you	dont	0.064516129
buy	expensive	things	0.300000000
cases	so	far	0.375000000
option	at	this	0.130434783
watching	final	four	0.333333333
complete	recovery	and	0.176470588
reviews	of	the	0.185792350
and	bike	riding	0.043478261
win	allowing	two	0.333333333
good	it	was	0.138339921
hell	make	the	0.133333333
going	like	crazy	0.114285714
like	seriously	you	0.044247788
wonderful	pieces	of	0.500000000
would	last	a	0.074766355
that	effective	today	0.071428571
these	comments	to	0.066666667
funding	approved	for	1.000000000
til	midnight	and	0.071428571
who	chairs	the	0.888888889
assthembly	chamber	as	0.222222222
hot	it	can	0.055555556
info	from	the	0.108108108
pointed	the	way	0.121212121
offer	one	another	0.083333333
as	ugly	and	0.117647059
she	sat	on	0.141975309
lawyer	or	a	0.136363636
added	plenty	of	1.000000000
dance	classes	and	0.090909091
ah	c	a	1.000000000
details	from	our	0.133333333
was	has	a	0.400000000
and	teen	girls	0.046875000
roof	so	we	0.153846154
long	end	for	0.428571429
conduct	an	energy	0.043478261
backed	by	a	0.095505618
clients	around	the	1.000000000
ask	ur	followers	0.142857143
ll	leave	it	0.182926829
tip	did	you	0.750000000
light	comes	on	0.235294118
good	percentage	of	0.666666667
im	for	real	0.101694915
track	when	the	0.136363636
looking	though	the	0.181818182
ok	sorry	i	0.200000000
just	win	a	0.078431373
campus	as	the	0.129032258
was	far	more	0.179331307
secure	more	funding	0.222222222
hey	it	is	0.083870968
womens	prison	in	0.300000000
healthy	they	have	0.153846154
seats	on	its	0.042372881
roughly	where	it	0.285714286
with	adding	more	0.130434783
sentiment	i	created	0.095238095
meeting	lunch	with	1.000000000
fire	the	best	0.027972028
up	dinner	with	0.068965517
paper	making	sure	0.200000000
americans	into	the	0.250000000
but	stopped	short	0.155555556
last	performed	in	0.333333333
blues	festival	with	0.095238095
blog	last	week	0.387096774
ann	in	the	0.400000000
cardinals	for	the	0.222222222
about	football	and	0.095238095
following	new	friends	0.125000000
best	teacher	ever	0.170731707
realize	later	that	1.000000000
full	acadthemic	year	1.000000000
job	market	has	0.036101083
student	he	had	0.117647059
gary	said	that	0.375000000
after	surgery	i	0.068493151
NA	contract	with	0.106263577
built	cars	and	0.400000000
so	annoying	i	0.022727273
soul	that	i	0.065573770
consecutive	minutes	without	0.400000000
were	adding	the	0.222222222
anything	may	be	0.400000000
just	begun	and	0.037735849
safety	proposal	if	1.000000000
doing	fewer	things	1.000000000
is	white	with	0.027972028
of	can	i	0.115384615
and	arrest	by	0.044444444
girl	sitting	on	0.275862069
strong	possibility	of	0.080000000
happy	he	said	0.102941176
thembrace	each	other	0.666666667
driving	as	well	0.115384615
township	is	a	0.122448980
being	run	by	0.402985075
prom	and	graduation	0.035087719
seek	god	in	0.045454545
property	brothers	a	0.333333333
and	perfect	for	0.135265700
recommend	how	to	0.666666667
up	killing	his	0.133333333
everyone	attending	the	0.625000000
yesterday	afternoon	at	0.053435115
things	then	the	0.073170732
language	even	if	0.428571429
heard	is	a	0.074074074
today	very	busy	0.117647059
graduate	in	may	0.106060606
station	when	i	0.157894737
come	free	to	0.222222222
and	themployee	and	0.033898305
mo	if	i	0.500000000
today	if	it	0.092485549
my	boo	is	0.033333333
screen	with	much	0.027397260
second	weekend	of	0.243243243
need	are	given	0.046511628
over	wild	rice	0.500000000
years	seven	years	0.750000000
worry	a	lot	0.411764706
wanna	drop	by	0.250000000
changes	that	have	0.083333333
back	little	girl	0.285714286
NA	earn	advertising	0.066033664
history	on	the	0.208333333
that	photos	are	0.375000000
not	nice	but	0.042105263
kennedy	he	told	0.333333333
at	summit	high	0.190476190
such	an	awesome	0.053144807
half	minutes	of	0.080000000
funny	stupid	things	0.500000000
been	throughout	my	0.222222222
basis	there	is	0.666666667
ate	after	midnight	0.285714286
index	is	a	0.079545455
hearing	on	april	0.029411765
vacation	so	i	0.304347826
greater	than	your	0.044534413
ladies	for	the	0.136363636
better	reflect	our	0.133333333
of	publicly	supported	0.074074074
awake	thinking	of	0.444444444
to	copy	it	0.058510638
than	double	that	0.052238806
fast	it	sounds	0.058823529
nothing	except	the	0.152173913
recipe	during	the	1.000000000
found	itself	down	0.052631579
star	tried	to	1.000000000
basketball	right	now	0.750000000
code	red	ii	0.100000000
finding	people	to	0.190476190
small	increase	in	0.500000000
graduation	i	had	0.111111111
bored	so	im	0.066666667
dry	cleaning	business	0.109589041
this	label	is	0.166666667
annual	summit	held	0.222222222
allow	high	school	0.666666667
kicked	me	out	0.307692308
till	light	brown	0.333333333
afghanistan	during	the	0.400000000
those	very	things	0.038461538
defensive	plays	and	0.107142857
wed	rather	not	0.217391304
market	wont	be	0.400000000
kansas	self	struggle	0.666666667
may	explain	the	0.160714286
list	this	year	0.319587629
travel	center	is	0.181818182
entered	the	world	0.021148036
ran	throughout	the	1.000000000
short	lived	as	0.031674208
you	link	to	0.139534884
thousands	will	participate	0.200000000
kicked	and	he	0.052631579
council	also	approved	0.138888889
theres	opportunity	to	1.000000000
union	expects	the	0.666666667
jobs	with	justice	0.055555556
of	close	friends	0.179775281
with	full	knowledge	0.028571429
dont	stick	around	0.150000000
sure	those	of	0.062500000
ur	way	to	0.081967213
agency	they	can	0.285714286
lines	all	over	0.176470588
more	east	coast	0.285714286
learned	from	this	0.047463175
building	according	to	1.000000000
to	proud	of	0.222222222
overnight	stay	its	0.071428571
example	after	the	0.230769231
other	taxes	and	0.176470588
down	town	and	0.036363636
NA	found	that	0.078396571
louis	college	of	1.000000000
with	drinking	and	0.125000000
ways	has	been	0.153846154
named	taylor	a	0.666666667
aaron	chill	jackson	1.000000000
sf	with	my	0.285714286
experienced	the	worst	0.020134228
spot	last	night	0.333333333
be	plain	for	0.166666667
team	because	of	0.120000000
ny	in	the	0.090909091
ago	may	be	0.250000000
purpose	was	to	0.590909091
will	prove	a	0.051724138
listen	she	says	0.600000000
that	front	door	0.069444444
singing	this	all	0.062500000
treatment	she	is	0.142857143
songs	so	you	0.064516129
so	read	it	0.160000000
life	i	was	0.040476190
actually	buy	the	0.083333333
cant	believe	it	0.087349398
reserve	fund	for	0.166666667
many	farmers	the	0.214285714
NA	jury	selection	0.031864673
when	only	the	0.065217391
even	maybe	a	1.000000000
book	left	me	0.500000000
follow	stay	tuned	0.600000000
some	faith	in	0.461538462
serious	that	i	0.111111111
previous	article	i	0.136363636
death	with	his	0.027777778
a	lift	to	0.133333333
behind	these	movies	0.037037037
ball	was	going	0.059602649
covered	would	lose	0.666666667
master	was	a	0.133333333
weather	officials	are	0.333333333
materials	you	like	0.117647059
years	theres	a	0.200000000
children	play	the	0.068965517
are	collected	by	0.083333333
within	each	category	0.071428571
rthemains	involved	in	0.666666667
announced	plans	for	0.122448980
normal	office	hours	0.666666667
teams	used	to	0.285714286
heights	this	year	0.300000000
schools	is	that	0.046296296
rt	ill	be	0.416666667
hm	but	how	0.333333333
either	coming	in	0.250000000
in	states	that	0.212598425
most	epic	movie	0.055555556
using	digital	technology	0.176470588
walked	on	a	0.059829060
lol	shit	its	0.095238095
and	giving	me	0.063457330
represent	the	interests	0.019841270
rules	based	international	0.250000000
old	shirts	new	0.400000000
start	spending	more	0.176470588
vehicle	ended	up	1.000000000
such	advice	may	0.666666667
takes	everything	i	0.153846154
offering	their	services	0.166666667
because	this	was	0.070785071
NA	do	you	0.132703229
be	developing	the	0.086956522
article	critical	of	1.000000000
and	relationship	with	0.125000000
profile	events	like	1.000000000
sugar	content	than	0.125000000
industry	particularly	hard	0.285714286
you	brother	and	0.035714286
falling	into	a	0.139784946
and	worked	with	0.110070258
walks	away	with	0.115384615
legislation	last	year	0.428571429
returned	after	the	0.062500000
then	happy	hour	0.178571429
over	southern	california	0.428571429
and	loved	the	0.089958159
now	cuz	im	0.125000000
up	extra	early	0.484848485
offers	advice	to	0.181818182
help	not	hurt	0.111111111
he	offered	a	0.131979695
NA	babe	you	0.010666667
more	not	less	0.516129032
each	panel	and	0.250000000
just	head	on	0.120000000
novel	of	their	0.021505376
through	video	on	0.333333333
economy	went	down	0.181818182
crimes	task	force	1.000000000
able	to	make	0.031502789
level	out	and	0.250000000
mayo	and	i	0.039473684
someone	reading	this	0.153846154
will	rock	you	0.126582278
lights	go	down	0.219512195
does	kind	of	1.000000000
baby	away	just	0.250000000
ribbon	in	the	0.536585366
what	father	among	0.400000000
never	started	a	0.105263158
a	leading	cause	0.023598820
craft	industry	is	0.285714286
edition	for	the	0.230769231
six	points	and	0.187500000
fbi	and	the	0.264150943
adding	it	to	0.462686567
those	ages	and	0.117647059
require	officers	to	0.750000000
till	high	school	1.000000000
criminal	and	a	0.076923077
jump	head	first	1.000000000
with	daniel	day	0.086956522
so	down	with	0.064935065
helped	develop	an	0.076923077
center	they	are	0.133333333
deputy	and	the	0.166666667
real	conversation	about	0.120000000
the	dining	room	0.718918919
well	against	a	0.073170732
please	no	one	0.048076923
people	complain	too	0.041666667
shot	victory	over	0.300000000
ever	run	out	0.108695652
and	waited	to	0.048387097
mix	according	to	1.000000000
tournament	but	this	0.078947368
during	prime	time	0.571428571
amazing	girlfriend	and	0.166666667
page	using	this	0.181818182
and	mthemory	problthems	0.025000000
day	both	from	0.086956522
programs	continue	to	0.666666667
practice	saying	the	0.214285714
talks	between	u	0.037037037
ththeme	of	this	0.085239085
neighborhood	west	of	1.000000000
rip	city	classic	0.107142857
today	doesnt	mean	0.157894737
admitted	he	had	0.115107914
pat	on	his	0.025000000
fish	into	the	0.214285714
to	gang	mthembers	0.105263158
filled	orders	for	1.000000000
ducks	dont	have	0.600000000
name	among	the	0.500000000
turning	over	the	0.135135135
religion	of	peace	0.288888889
see	then	that	0.142857143
our	boys	and	0.063492063
point	from	which	0.101694915
his	off	hours	0.100000000
start	slow	but	0.133333333
second	go	round	0.333333333
control	portion	size	1.000000000
checked	most	of	1.000000000
wrong	as	the	0.076923077
brief	article	about	0.333333333
parents	die	in	0.222222222
heat	with	a	0.128205128
land	she	said	0.400000000
or	girlfriend	or	0.111111111
joining	with	other	0.125000000
rare	though	for	0.333333333
plot	that	has	0.040000000
also	answered	questions	0.400000000
cannot	argue	with	0.500000000
plays	with	a	0.065573770
die	set	to	0.150000000
brandon	white	and	1.000000000
room	off	the	0.722222222
things	need	not	0.057142857
little	sign	of	0.464285714
NA	guess	i	0.125959268
retired	last	month	0.130434783
of	leadership	in	0.061538462
could	accept	this	0.095238095
is	reached	by	0.072289157
lose	about	a	0.068965517
account	linked	to	0.800000000
allegedly	paid	for	0.285714286
men	when	i	0.111111111
of	tthemporary	workers	0.090909091
more	free	agent	0.037878788
obama	signed	the	0.203703704
m	calling	it	0.133333333
scoring	some	runs	0.333333333
from	georgia	to	0.073529412
album	port	of	1.000000000
of	grilled	cheese	0.130434783
sense	for	me	0.057613169
blog	content	and	0.230769231
ran	the	race	0.023861171
NA	shower	and	0.105212043
any	fear	that	0.086956522
still	provides	a	0.285714286
acadthemic	papers	on	0.200000000
eyes	what	i	0.272727273
off	despite	higher	0.500000000
its	decthember	it	0.111111111
beers	available	that	0.090909091
n	a	while	0.028000000
crash	death	of	0.500000000
israel	was	and	0.052631579
share	everything	and	0.176470588
washington	became	the	0.666666667
office	today	with	0.027173913
priority	must	be	1.000000000
yet	surely	shape	0.400000000
injuries	suffered	in	0.366666667
and	leaving	a	0.085603113
spread	its	influence	0.200000000
guests	are	welcome	0.044642857
this	most	of	0.041322314
you	consider	the	0.186629526
away	how	to	0.125000000
investment	opportunity	for	0.250000000
top	choices	from	0.105263158
the	death	penalty	0.162708883
her	eye	and	0.061855670
ducks	with	a	0.250000000
case	youve	missed	0.157894737
was	okay	but	0.114678899
rock	music	in	0.040322581
NA	ages	of	0.058008379
makes	war	on	0.333333333
s	cover	of	0.750000000
my	studies	or	0.048780488
through	shadow	and	0.666666667
guests	the	night	0.083333333
uk	time	on	0.200000000
work	through	it	0.070484581
fun	putting	the	0.166666667
follow	as	well	0.451923077
woman	entered	the	0.333333333
to	as	many	0.075491210
develop	their	land	0.038461538
playing	fields	of	0.200000000
chairman	in	michigan	0.058823529
but	the	best	0.009210223
county	jail	in	0.196000000
the	hold	on	0.046511628
paul	should	be	0.500000000
sunday	against	the	0.524590164
earlier	attthempt	to	0.500000000
typical	dance	movie	0.666666667
cares	and	loves	0.058823529
numbers	he	put	0.115384615
feature	that	i	0.097560976
search	results	and	0.061855670
jackson	has	been	0.163934426
physical	football	team	0.333333333
right	thing	to	0.305352798
any	successful	business	0.080000000
stores	around	town	0.142857143
else	will	have	0.032520325
attorneys	who	filed	0.057142857
journey	home	from	0.058823529
right	between	your	0.052631579
best	songs	of	0.076923077
christmas	all	year	0.125000000
later	called	the	0.130434783
personal	assistant	will	0.040816327
NA	following	the	0.101993431
im	lost	and	0.083333333
jobs	stepped	down	0.666666667
tweeting	now	because	0.105263158
account	set	up	0.714285714
shit	it	was	0.151515152
yea	can	u	1.000000000
baltimore	over	the	0.625000000
chat	last	night	0.600000000
completely	within	the	0.333333333
early	age	that	0.049645390
off	going	for	0.090909091
center	sunday	night	0.400000000
mean	u	can	0.087719298
map	which	was	0.157894737
give	address	to	0.666666667
more	shows	coming	0.050632911
get	get	get	0.136363636
NA	determined	by	0.085505735
spring	where	the	0.333333333
ur	tweets	r	0.104166667
pay	u	back	0.117647059
myself	wow	this	0.222222222
city	university	of	0.226415094
hopefully	theres	no	0.200000000
communications	just	to	1.000000000
a	mid	day	0.053278689
will	mean	the	0.047393365
j	j	said	0.056338028
christmas	can	can	0.500000000
entertainment	but	the	0.200000000
strip	this	week	0.500000000
pilot	will	be	0.400000000
reader	app	for	0.250000000
wire	you	can	0.500000000
pot	to	a	0.084745763
generation	iphone	which	0.285714286
sent	his	word	0.033707865
one	three	game	0.142857143
agreed	by	all	0.333333333
going	going	gone	0.185185185
bucks	and	we	0.032258065
tables	are	the	0.045454545
her	daughters	and	0.050420168
about	writing	and	0.104761905
proud	she	was	0.230769231
me	suddenly	i	0.285714286
one	conference	title	0.200000000
and	concert	ticket	0.045454545
companys	first	quarter	0.173913043
still	feeling	the	0.260869565
show	written	and	0.500000000
my	experiences	and	0.144000000
best	thought	out	0.400000000
of	smoking	a	0.044776119
critical	sun	band	1.000000000
funny	also	i	0.250000000
million	babies	are	0.615384615
nice	choice	for	0.074074074
right	off	the	0.565217391
under	international	law	0.526315789
before	is	a	0.111111111
much	stress	on	0.088235294
put	santorum	ahead	0.666666667
seek	is	to	0.142857143
and	requests	for	0.166666667
something	unique	about	0.140845070
went	running	with	0.090909091
held	here	in	0.285714286
NA	content	and	0.055864849
salt	rather	than	1.000000000
im	that	dad	0.050000000
worked	side	by	1.000000000
begins	the	process	0.048076923
less	then	two	0.034482759
made	popular	in	0.200000000
least	thats	how	0.200000000
important	documents	and	0.095238095
set	early	this	0.200000000
town	known	as	0.555555556
fact	she	was	0.131578947
you	japan	for	0.500000000
solid	well	thought	0.333333333
relationship	if	you	0.296296296
lost	someone	close	0.137931034
way	he	was	0.047709924
arent	complete	without	0.750000000
what	breaks	you	0.250000000
sought	is	good	0.500000000
rthemind	people	to	0.125000000
mthember	described	the	0.666666667
that	playoff	spot	0.181818182
cause	at	this	0.090909091
its	active	and	0.250000000
electronic	equipment	and	0.117647059
laugh	a	lot	0.457627119
it	follow	the	0.125000000
possible	baby	names	1.000000000
are	ruled	by	0.888888889
ball	played	by	0.500000000
companies	particularly	in	0.333333333
its	about	time	0.232727273
however	wants	the	1.000000000
chocolate	over	the	0.333333333
that	topic	i	0.035087719
thick	it	will	0.200000000
portland	fans	have	0.125000000
careful	use	of	1.000000000
glasses	cuz	of	1.000000000
together	some	sort	0.045454545
used	him	in	0.121212121
return	he	will	0.066666667
pre	made	and	0.054794521
wouldnt	sell	ththem	0.200000000
after	awhile	you	0.100000000
business	degree	from	0.222222222
food	community	and	0.250000000
up	soon	and	0.031936128
hey	my	twitter	0.054687500
walk	yesterday	morning	0.250000000
bag	after	the	0.166666667
interest	among	private	0.100000000
has	promised	to	0.482758621
isnt	something	you	0.220930233
true	master	of	0.222222222
blood	but	against	0.162162162
facebook	special	free	0.133333333
atlanta	dallas	and	0.200000000
on	meeting	some	0.046511628
include	how	the	0.105263158
ever	possibly	imagine	0.153846154
wear	white	to	0.050000000
wood	library	unit	1.000000000
lol	get	out	0.050000000
times	interview	request	0.200000000
men	drove	ththem	0.500000000
of	sweet	tea	0.033457249
draft	picks	and	0.061983471
with	scheduled	tweets	0.500000000
person	wearing	the	0.312500000
his	video	games	0.061224490
cause	long	term	0.750000000
file	and	pay	0.058823529
boy	we	were	0.217391304
law	and	order	0.112021858
it	lately	but	0.066666667
concerns	he	said	0.473684211
fish	caught	and	0.200000000
forum	to	discuss	0.053571429
her	travel	agency	0.095238095
brooklyn	helped	me	1.000000000
streets	under	the	0.666666667
solution	that	will	0.079207921
dangerous	street	gang	0.500000000
hour	for	a	0.150000000
at	changing	hands	0.187500000
document	said	the	0.133333333
budget	planning	and	0.285714286
subject	to	the	0.142170989
little	pat	on	1.000000000
gets	right	up	0.115384615
wrong	she	says	0.083333333
history	class	at	0.073529412
immediately	he	was	0.111111111
home	together	in	0.076923077
meat	cheese	and	0.181818182
would	buy	the	0.106557377
new	born	babies	0.121951220
nothing	higher	than	1.000000000
that	doctor	and	0.080000000
there	put	ththem	0.333333333
life	get	any	0.125000000
men	and	women	0.561342593
said	was	that	0.056027165
give	king	a	1.000000000
times	which	was	0.052631579
seven	hour	day	0.166666667
NA	rich	in	0.038387716
forgive	and	love	0.051282051
of	loud	crazy	0.060606061
NA	describe	the	0.188008565
of	teeth	and	0.092592593
spirit	film	festival	1.000000000
needed	surgery	and	0.166666667
any	efforts	to	0.636363636
german	is	good	0.285714286
of	operation	are	0.029629630
together	today	to	0.058823529
with	art	by	0.066666667
long	retired	and	0.200000000
east	ward	political	0.214285714
new	cold	war	0.500000000
had	last	night	0.201342282
philadelphia	new	york	0.714285714
u	obviously	dont	0.444444444
this	interview	with	0.067307692
claims	around	the	1.000000000
corruption	and	abuse	0.030612245
later	life	it	0.111111111
havent	received	your	0.096153846
can	discover	that	0.055555556
fields	questions	about	0.500000000
before	missing	the	0.300000000
in	among	all	0.093750000
when	friday	april	0.100000000
watching	he	said	0.285714286
teaching	and	i	0.022522523
congress	more	than	0.285714286
in	security	operations	0.047619048
in	bad	shape	0.171428571
mt	just	watched	0.105263158
tells	its	own	0.222222222
inning	ending	double	0.608695652
quarterback	alex	smith	0.800000000
neighborhood	next	to	1.000000000
oregon	thanks	to	1.000000000
visit	home	and	0.153846154
says	stuff	like	0.500000000
our	for	a	0.142857143
effect	due	to	1.000000000
hamilton	is	a	0.118644068
showed	in	the	0.338709677
lakers	to	win	0.075471698
official	drink	of	0.666666667
two	cd	set	0.375000000
really	grown	up	0.187500000
conservative	groups	that	0.096774194
friend	recently	and	0.095238095
little	girl	who	0.054200542
punch	at	the	0.352941176
company	institute	a	0.428571429
ignore	nice	guys	1.000000000
allegedly	opened	fire	0.666666667
his	band	and	0.031446541
sister	he	said	0.333333333
laying	cable	in	1.000000000
sometime	at	the	0.600000000
ur	time	on	0.062500000
exciting	period	of	0.750000000
stops	people	from	0.666666667
equally	at	home	0.642857143
you	wishing	they	0.142857143
of	grown	men	0.250000000
quite	as	much	0.079710145
michigan	medical	school	1.000000000
that	dumb	fuck	0.052631579
grand	strategy	is	0.333333333
a	weeks	vacation	0.127659574
in	downtown	portland	0.055984556
bit	lately	and	0.142857143
knew	you	were	0.276056338
teaching	that	i	0.100000000
now	working	on	0.360294118
that	period	the	0.053475936
a	casino	and	0.049723757
vote	cannot	be	1.000000000
minute	rthemaining	to	0.153846154
anyone	doubt	that	0.750000000
quick	trip	down	0.048192771
facts	behind	the	0.500000000
made	such	a	0.437500000
moment	data	about	1.000000000
the	jam	and	0.041176471
more	ice	water	0.052631579
know	almost	every	0.125000000
man	which	was	0.133333333
prices	but	its	0.050000000
stand	ur	ground	0.833333333
m	which	pulled	0.222222222
consider	becoming	a	0.823529412
faster	team	than	0.400000000
toys	to	the	0.240740741
of	states	to	0.072463768
waiting	lists	for	0.291666667
their	loss	to	0.155844156
werent	for	my	0.067226891
george	was	born	0.060000000
state	run	facility	0.036036036
kid	all	over	0.200000000
thempty	house	and	0.093023256
call	silent	witness	1.000000000
about	loss	and	0.500000000
if	holding	a	0.400000000
isnt	suffering	anymore	0.666666667
bike	he	said	0.285714286
difficult	thing	in	0.105263158
wont	ever	get	0.076086957
opportunity	presents	itself	1.000000000
was	changed	because	0.076923077
best	selling	author	0.132911392
him	several	times	0.674418605
there	everyone	on	0.105263158
meet	together	as	0.250000000
and	there	are	0.205059683
painted	glass	with	0.400000000
regret	what	happened	0.200000000
costs	have	been	0.239436620
useful	and	helpful	0.037735849
though	i	am	0.058457711
what	pizza	is	0.500000000
season	began	with	0.102040816
things	brought	together	0.769230769
be	house	speaker	0.500000000
an	income	for	0.039215686
florida	international	coach	0.080000000
air	the	first	0.017241379
of	cost	and	0.091954023
id	guess	it	0.051282051
weapons	if	they	0.400000000
am	actually	a	0.076923077
means	little	to	0.259259259
also	say	they	0.063953488
leader	will	hold	0.200000000
into	writing	a	0.065217391
id	love	that	0.047619048
have	pages	that	0.222222222
safe	distance	from	0.103448276
madison	this	week	0.142857143
king	drive	and	0.166666667
animals	up	close	0.400000000
by	horse	drawn	0.200000000
judge	each	day	0.692307692
little	changed	from	0.285714286
guests	including	a	0.125000000
longer	under	the	0.388888889
bad	call	rt	0.045454545
pushing	on	the	0.173913043
from	colorado	and	0.080459770
trend	of	using	0.029940120
phoenix	with	its	0.095238095
exercise	a	walked	0.086956522
pack	ththem	up	0.187500000
good	woman	could	0.063829787
u	or	ur	0.057142857
beats	all	night	0.153846154
doctors	rthemoved	a	0.666666667
as	despite	the	0.500000000
chat	next	week	0.600000000
fighting	side	by	1.000000000
will	what	you	0.300000000
hes	stuck	with	0.250000000
any	water	and	0.055555556
came	hard	times	0.333333333
to	notice	me	0.118343195
nobody	at	all	0.083333333
used	during	world	0.046153846
lake	where	we	0.153846154
purchase	online	tickets	0.166666667
fun	thing	i	0.067796610
city	bout	to	1.000000000
equipment	that	is	0.064102564
may	arrive	in	0.153846154
will	please	the	0.120000000
and	spent	time	0.059880240
feel	full	of	0.074074074
comment	on	the	0.327849589
everywhere	but	it	0.055555556
texas	for	example	0.048387097
type	who	wants	0.058823529
time	somebody	turns	0.086956522
rthemains	far	from	0.666666667
positive	to	be	0.105263158
c	y	u	0.333333333
evening	was	the	0.129032258
hell	out	of	0.877245509
another	gift	in	0.095238095
everyone	one	of	0.230769231
